[2026-05-15 05:28:07] USER:8734521592 | dime si puedes ver este sms
[2026-05-15 05:29:12] USER:8734521592 | el panel q le sale a los jugadores abajo con botones de ciudad perfil etc, esta fijo y quiero que ellos puedan ocultarlo y mostrarlo a voluntad
[2026-05-15 05:37:57] USER:8734521592 | en las zonas salvajes no veo ningun botón para atacar a ningun jugador a lo pvp , tambien anade botones para las funciones de recolectar y investigar en las zonas salvajes q estén disponibles en el menú de botones q sale abajo
[2026-05-15 05:41:13] USER:8734521592 | el menú de botones q se pone y se quita no debe enseñar los botones de ciudad ni nada q se haga en la ciudad en la zona salvaje, ese menú solo debe mostrar en la zona salvaje las cosas q se pueden hacer en las cosas salvajes , y en la ciudad todas las cosas q se pueden hacer en la ciudas, anade q mi botón de admin este disponible donde sea en el menú q se pone y se quita
[2026-05-15 05:45:22] USER:8734521592 | ⚠️ Error: cannot import name 'cmd_panel' from 'superadmin' (/home/runner/workspace/bot_project/proyecto aethelgard/superadmin.py) salio ese error cuando intente darle al botón de admin
[2026-05-15 05:47:36] USER:8734521592 | cuando le doy al botón combate q es el de duelo amistoso me sale todo el menú de la ciudad , y solo debería salir el boton para iniciar duelo , arregla eso , además cambia ese boton de combate de las ciudades por uno q se llame duelos , y ese boton de duelos no esta disponible en el teclado en la zona salvaje
[2026-05-15 05:49:38] USER:8734521592 | en el panel de admin mi boton de economía y tiendas no responde
[2026-05-15 05:53:24] USER:8734521592 | el botón de economía y tiendas aun no responde no me muestra nada de lo q hay dentro de el
[2026-05-15 05:58:40] USER:8734521592 | sigue sin responder el botón de economía y tiendas
[2026-05-15 06:02:45] USER:8734521592 | logre entrar a economía y tiendas pero adentro el boton abrir panel de economía no responde
[2026-05-15 06:05:51] USER:8734521592 | sigue sin responder el boton abrir panel de economía
[2026-05-15 06:15:23] USER:8734521592 | añade q tanto para mi como admin como para cualquier otro jugador el boton gremios y el boton duelos solo estén disponibles en el menú desplegable solo cuando estemos en la ciudad , si estamos en zona salvaje esos botones deben desaparecer del menú desplegable
[2026-05-15 06:18:58] USER:8734521592 | añade q en perfil siempre se vea la zona actual del jugador
[2026-05-15 06:21:08] USER:8734521592 | anade q los jugadores normales tambien tengan el boton de incursionar otras zonas enemigas o como se llame adentro de viajes y q puedan viajar a ellas con los costes de tiempo equivalentes
[2026-05-15 06:22:25] USER:8734521592 | anade q el menú desplegable tenga siempre un boton interactivo , ss un boton q sale siempre en el teclado q te permite sacar o esconder el menú desplegable en todo momento sin escribir nada
[2026-05-15 06:25:57] USER:8734521592 | ese boton q pusiste no es ese me refiero a un boton q se fija al lado de donde los usuarios de telegram escriben y no se va nunca de ahi
[2026-05-15 06:27:58] USER:8734521592 | ves q hay un menú de comandos fijos aqui tambien en telegram q muestran todos los comandos disponibles para los jugadores , pon q los comandos de gremio solo se puedan ver en la ciudad , todo los q pertenezcan a gremio
[2026-05-15 06:32:21] USER:8734521592 | en mi panel de edición de guerra de facciones hay un boton q se llama ver marcador el cual no responde, si no hay marcadores actuales pon q me responda q no hay nada aún, no obstante revisa si esta bugueado
[2026-05-15 06:42:08] USER:8734521592 | quise crear un gremio sin descripción y le di al boton sin descripción y salió error inesperado
[2026-05-15 06:45:56] USER:8734521592 | hubo un bug en mi cuenta secundaria el boton de ciudad se quedo pegado en el menú plegable o no se está mirando bien la ubicación del jugador
[2026-05-15 06:48:20] USER:8734521592 | el menú desplegable de los jugadores no cambia según la zona q se encuentre y en la ciudad debe mostrar todo lo de la ciudad y en la zona salvaje todo lo de la zona salvaje , ozea debe actualizarse a medida a el jugador cambia de zona y no lo hace, esto aplica tanto para admins como para jugadores , a excepción de q el panel admin siempre esta disponible en cualquier zona q yo este
[2026-05-15 06:50:45] USER:8734521592 | intente ir a otra ciudad de otra facción sin pagar peaje y le di no al boton no pagar y quedar marcado y me salio un error
[2026-05-15 06:52:54] USER:8734521592 | con mi cuenta secundaria fui a buscar gremios y si me apareció el gremio q hice con mi cuenta superadmin pero no me apareció ningun boton para enviar solicitud de unirme y tampoco me salio la descripción de el gremio creado
[2026-05-15 06:59:45] USER:8734521592 | revisa si tengo algun boton en mi panel admin para controlar el precio del peaje y el precio y requisitos de la creación de gremios , anade estos botones a mi panel admin si no los tengo y si los tenfo dime donde estan
